Summary;Sprint;Issue Type;Priority;Assignee;Reporter;Fix Version/s;Team;Labels;Labels;Labels;Labels;Original Estimate;Story Points
EP handling;24348;Task;High;ECSIGER;ETOTIST;;Cinerin;ST;;;;;
EP handling;24348;Task;High;ETOTIST;ETOTIST;;Cinerin;ST;;;;;
CI Monitor - W1;24348;Task;High;ETHNYZ;ETOTIST;;Cinerin;CI;;;;90000;3.125
CI Monitor - W2;24348;Task;High;ETHNYZ;ETOTIST;;Cinerin;CI;;;;90000;3.125
CI Monitor - W3;24348;Task;High;ETHNYZ;ETOTIST;;Cinerin;CI;;;;90000;3.125
CI Monitor - W1;24348;Task;High;ECSIGER;ETOTIST;;Cinerin;CI;;;;54000;1.875
CI Monitor - W2;24348;Task;High;ECSIGER;ETOTIST;;Cinerin;CI;;;;54000;1.875
CI Monitor - W3;24348;Task;High;ECSIGER;ETOTIST;;Cinerin;CI;;;;54000;1.875
TC37512.4.6.1.53 scope: 14 days;24348;Task;High;ETOTIST;ETOTIST;EPG3.44;Cinerin;REGRESSION;CAPACITY;ST_2EXTENDED;ST_BI-WEEKLY;14400;0.5
TC37512.4.6.1.53 scope: 14 days;24348;Task;High;ETOTIST;ETOTIST;EPG3.44;Cinerin;REGRESSION;CAPACITY;ST_2EXTENDED;ST_BI-WEEKLY;14400;0.5
TC37540.1.6.11 scope: 14 days;24348;Task;High;ETOTIST;ETOTIST;EPG3.44;Cinerin;REGRESSION;STABILITY;ST_2EXTENDED;ST_BI-WEEKLY;14400;0.5
TC37540.1.6.11 scope: 14 days;24348;Task;High;ETOTIST;ETOTIST;EPG3.44;Cinerin;REGRESSION;STABILITY;ST_2EXTENDED;ST_BI-WEEKLY;14400;0.5
TC37540.40.6.1 scope: 14 days;24348;Task;High;ETOTIST;ETOTIST;EPG3.44;Cinerin;REGRESSION;STABILITY;ST_2EXTENDED;ST_BI-WEEKLY;14400;0.5
TC37540.40.6.1 scope: 14 days;24348;Task;High;ETOTIST;ETOTIST;EPG3.44;Cinerin;REGRESSION;STABILITY;ST_2EXTENDED;ST_BI-WEEKLY;14400;0.5
TC37512.4.6.1.53.1 scope: 28 days;24348;Task;High;ETOTIST;ETOTIST;EPG3.44;Cinerin;REGRESSION;CAPACITY;ST_DYNAMIC;ST_MONTHLY;14400;0.5
TC37485.1.6.1 scope: 14 days;24348;Task;High;ETOTIST;ETOTIST;EPG3.44;Cinerin;REGRESSION;MAINTAINABILITY;ST_2EXTENDED;ST_BI-WEEKLY;14400;0.5
TC37485.1.6.1 scope: 14 days;24348;Task;High;ETOTIST;ETOTIST;EPG3.44;Cinerin;REGRESSION;MAINTAINABILITY;ST_2EXTENDED;ST_BI-WEEKLY;14400;0.5
TC37548.3.6.1 scope: 28 days;24348;Task;High;ETOTIST;ETOTIST;EPG3.44;Cinerin;REGRESSION;STABILITY;ST_DYNAMIC;ST_MONTHLY;14400;0.5
TC37548.3.6.2 scope: 28 days;24348;Task;High;ETOTIST;ETOTIST;EPG3.44;Cinerin;REGRESSION;STABILITY;ST_DYNAMIC;ST_MONTHLY;14400;0.5
TC37548.3.6.3 scope: 7 days;24348;Task;High;ETOTIST;ETOTIST;EPG3.44;Cinerin;REGRESSION;STABILITY;ST_EXTENDED;ST_WEEKLY;14400;0.5
TC37548.3.6.3 scope: 7 days;24348;Task;High;ETOTIST;ETOTIST;EPG3.44;Cinerin;REGRESSION;STABILITY;ST_EXTENDED;ST_WEEKLY;14400;0.5
TC37548.3.6.3 scope: 7 days;24348;Task;High;ETOTIST;ETOTIST;EPG3.44;Cinerin;REGRESSION;STABILITY;ST_EXTENDED;ST_WEEKLY;14400;0.5
TC37548.3.6.3 scope: 7 days;24348;Task;High;ETOTIST;ETOTIST;EPG3.43;Cinerin;REGRESSION;STABILITY;ST_EXTENDED;ST_WEEKLY;14400;0.5
TC37512.4.6.10.1 W1 scope: 14 days;24348;Task;High;ECSIGER;ETOTIST;EPG3.44;Cinerin;REGRESSION;CAPACITY;ST_2EXTENDED;ST_BI-WEEKLY;14400;0.5
TC37512.4.6.10.1 W3 scope: 14 days;24348;Task;High;ECSIGER;ETOTIST;EPG3.44;Cinerin;REGRESSION;CAPACITY;ST_2EXTENDED;ST_BI-WEEKLY;14400;0.5
TC37515.8.1.5.1 scope: 21 days;24348;Task;High;ECSIGER;ETOTIST;EPG3.44;Cinerin;REGRESSION;CAPACITY;ST_BASIC;ST_DAILY;86400;3
TC37515.8.1.5.1 scope: 14 days;24348;Task;High;ECSIGER;ETOTIST;EPG3.43;Cinerin;REGRESSION;CAPACITY;ST_BASIC;ST_DAILY;57600;2
TC37512.4.4.18.23 scope: 21 days;24348;Task;High;ECSIGER;ETOTIST;EPG3.44;Cinerin;REGRESSION;CAPACITY;ST_BASIC;ST_DAILY;86400;3
TC37512.4.4.18.23 scope: 14 days;24348;Task;High;ECSIGER;ETOTIST;EPG3.43;Cinerin;REGRESSION;CAPACITY;ST_BASIC;ST_DAILY;57600;2
TC37512.4.6.10.11 scope: 28 days;24348;Task;High;ECSIGER;ETOTIST;EPG3.44;Cinerin;REGRESSION;CAPACITY;ST_DYNAMIC;ST_MONTHLY;14400;0.5
TC37512.4.6.17.1 scope: 28 days;24348;Task;High;ECSIGER;ETOTIST;EPG3.44;Cinerin;REGRESSION;CAPACITY;ST_DYNAMIC;ST_MONTHLY;14400;0.5
TC37512.6.6.17.5 scope: 28 days;24348;Task;High;ECSIGER;ETOTIST;EPG3.44;Cinerin;REGRESSION;CAPACITY;ST_DYNAMIC;ST_MONTHLY;14400;0.5
TC37512.6.6.17.12 scope: 28 days;24348;Task;High;ECSIGER;ETOTIST;EPG3.44;Cinerin;REGRESSION;CAPACITY;ST_DYNAMIC;ST_MONTHLY;14400;0.5
TC37548.6.6.1 scope: 28 days;24348;Task;High;ECSIGER;ETOTIST;EPG3.44;Cinerin;REGRESSION;STABILITY;ST_DYNAMIC;ST_MONTHLY;14400;0.5
TC37548.6.6.2 scope: 28 days;24348;Task;High;ECSIGER;ETOTIST;EPG3.44;Cinerin;REGRESSION;STABILITY;ST_DYNAMIC;ST_MONTHLY;14400;0.5
TC37553.1.6.8 scope: 28 days;24348;Task;High;ECSIGER;ETOTIST;EPG3.44;Cinerin;REGRESSION;STABILITY;ST_DYNAMIC;ST_MONTHLY;14400;0.5
TC37540.1.6.16 W1 scope: 14 days;24348;Task;High;ECSIGER;ETOTIST;EPG3.44;Cinerin;REGRESSION;STABILITY;ST_2EXTENDED;ST_BI-WEEKLY;14400;0.5
TC37540.1.6.16 W3 scope: 14 days;24348;Task;High;ECSIGER;ETOTIST;EPG3.44;Cinerin;REGRESSION;STABILITY;ST_2EXTENDED;ST_BI-WEEKLY;14400;0.5
TC2020.5.6.9.5 W2 scope: 14 days;24348;Task;High;ETHNYZ;ETOTIST;EPG3.44;Cinerin;REGRESSION;ROBUSTNESS;ST_2EXTENDED;ST_BI-WEEKLY;14400;0.5
TC2020.5.6.14.1 scope: 28 days;24348;Task;High;ETHNYZ;ETOTIST;EPG3.44;Cinerin;REGRESSION;ROBUSTNESS;ST_DYNAMIC;ST_MONTHLY;14400;0.5
TC22711.2.2.2.1 W1 scope: 7 days;24348;Task;High;ETHNYZ;ETOTIST;EPG3.44;Cinerin;REGRESSION;ROBUSTNESS;ST_EXTENDED;ST_WEEKLY;14400;0.5
TC22711.2.2.2.1 W2 scope: 7 days;24348;Task;High;ETHNYZ;ETOTIST;EPG3.44;Cinerin;REGRESSION;ROBUSTNESS;ST_EXTENDED;ST_WEEKLY;14400;0.5
TC22711.2.2.2.1 W3 scope: 7 days;24348;Task;High;ETHNYZ;ETOTIST;EPG3.44;Cinerin;REGRESSION;ROBUSTNESS;ST_EXTENDED;ST_WEEKLY;14400;0.5
TC22711.2.2.2.1 W1 scope: 7 days;24348;Task;High;ETHNYZ;ETOTIST;EPG3.43;Cinerin;REGRESSION;ROBUSTNESS;ST_EXTENDED;ST_WEEKLY;14400;0.5
TC1122.1.1.10.1 W1 scope: 7 days;24348;Task;High;ETHNYZ;ETOTIST;EPG3.44;Cinerin;REGRESSION;ROBUSTNESS;ST_EXTENDED;ST_WEEKLY;14400;0.5
TC1122.1.1.10.1 W2 scope: 7 days;24348;Task;High;ETHNYZ;ETOTIST;EPG3.44;Cinerin;REGRESSION;ROBUSTNESS;ST_EXTENDED;ST_WEEKLY;14400;0.5
TC1122.1.1.10.1 W3 scope: 7 days;24348;Task;High;ETHNYZ;ETOTIST;EPG3.44;Cinerin;REGRESSION;ROBUSTNESS;ST_EXTENDED;ST_WEEKLY;14400;0.5
TC1122.1.1.10.1 W1 scope: 7 days;24348;Task;High;ETHNYZ;ETOTIST;EPG3.43;Cinerin;REGRESSION;ROBUSTNESS;ST_EXTENDED;ST_WEEKLY;14400;0.5
TC37548.5.6.1 scope: 28 days;24348;Task;High;ETHNYZ;ETOTIST;EPG3.44;Cinerin;REGRESSION;STABILITY;ST_DYNAMIC;ST_MONTHLY;14400;0.5
TC37548.5.6.2 scope: 28 days;24348;Task;High;ETHNYZ;ETOTIST;EPG3.44;Cinerin;REGRESSION;STABILITY;ST_DYNAMIC;ST_MONTHLY;14400;0.5